id,question,answerText,top1,top2,top3,top4,top5
a9011ddf,What is the seventh tallest mountain in North America?,Mount Lucania,Mount Hubbard,Mount Bear,Mount Alverstone,Mount Kennedy,University Peak
2723bb1b,"Which actor was the star of Titanic and was born in Los Angeles, California?",Leonardo DiCaprio,Leonardo DiCaprio,Kate Winslet,James Cameron,Rose DeWitt Bukater,Jack Dawson
88349c89,Which actor starred in Vanilla Sky and was married to Katie Holmes?,Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise
982450cf,Who is the youngest current US governor?,Ron DeSantis,Ron DeSantis,Jared Polis,Gretchen Whitmer,Spencer Cox,Kay Ivey
fe541d01,Which US president has had the most votes?,Joe Biden,Barack Obama,Joe Biden,Donald Trump,George W. Bush,Bill Clinton
f477742c,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Henry Cavill,Henry Cavill,Robert Pattinson,Tom Sturridge,Ben Barnes,Jackson Rathbone
2e3cf745,Which river is longer than the Mississippi River?,The Nile,Amazon River,Nile River,Yangtze River,Yenisei River,Ob River
faa4e84c,What is the latest US state to be admitted to the union that is not Hawaii?,Alaska,Alaska,Arizona,New Mexico,Oklahoma,Utah
650e81a3,What is the longest lake in the world?,Lake Tanganyika,Lake Tanganyika,Lake Baikal,Great Slave Lake,Lake Malawi,Lake Vostok
53fe42a8,Where was the singer of Genie in a Bottle born?,"Staten Island, New York City","Staten Island, New York","Rochester, New York","Pittsburgh, Pennsylvania","McComb, Mississippi","Waco, Texas"
4694fd01,"Which series is older, Metroid or Super Mario Bros?",Super Mario Bros,Super Mario Bros,Metroid,,,
272d3f43,In which Super Mario Land game do you not play as Mario?,Wario Land: Super Mario Land 3,Princess Daisy,Wario,Luigi,Toad,Peach
cf871296,Who was the president of Argentina from 1989 to 1999?,Carlos Menem,Carlos Menem,Raúl Alfonsín,Fernando de la Rúa,Eduardo Duhalde,Néstor Kirchner
33ed28dd,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?",Michael Phelps,Michael Phelps,Katie Hoff,Aaron Peirsol,Klete Keller,Ian Crocker
2e4cde5f,What governors of Ohio since 2000 have not been Republican?,Ted Strickland,Ted Strickland,Richard Cordray,Sherrod Brown,Lee Fisher,Tim Hagan
3e7b64af,Which player has won the most World Series rings?,Yogi Berra,Yogi Berra,Joe DiMaggio,Mickey Mantle,Babe Ruth,Derek Jeter
80137241,"Who has been in more movies, Kevin Hart or Dwayne Johnson?",Dwayne Johnson,Dwayne Johnson,Kevin Hart,Dwayne Johnson,Kevin Hart,Dwayne Johnson
2182d4d7,"Which movie made more money, Joker or Suicide Squad (2016)?",Joker,Joker,Suicide Squad (2016),Joker,Joker,Suicide Squad (2016)
21f3dbb1,"Which movie was released first, Avengers: Endgame or Joker?",Avengers Endgame,Avengers: Endgame,Joker,,,
0804508e,"Who is older, Drew Barrymore or Neve Campbell?",Neve Campbell,Drew Barrymore,Neve Campbell,Unknown,Same age,Not specified
754ebe9d,"Who is older, Jodie Foster or Julia Roberts?",Jodie Foster,Jodie Foster,Julia Roberts,Jodie Foster,Julia Roberts,Jodie Foster
6323ffe8,"Who is taller, Angelina Jolie or Brad Pitt?",Brad Pitt,Brad Pitt,Angelina Jolie,They are the same height,It is unknown,Both are tall
28cf6720,"Which movie had a higher lifetime gross, Titanic or Avatar?",Avatar,Avatar,Titanic,,,
47feccd4,"Which movie had a higher lifetime gross, Jurassic World or The Lion King?",Jurassic World,Jurassic World,The Lion King,Jurassic World: Fallen Kingdom,The Lion King (2019),Jurassic Park
3d823e8a,"Which Netflix series has been watched more, Tiger King or The Queen's Gambit?",Tiger King,Tiger King,The Queen's Gambit,Both equally,Stranger Things,Money Heist
932c66a8,"Which Netflix series has been watched more, Bridgerton or Tiger King?",Bridgerton,Bridgerton,Tiger King,Stranger Things,The Crown,Money Heist
4ecf1250,"Which is the higher-grossing 2020 movie, 1917 or Bad Boys for Life?",Bad Boys for Life,Bad Boys for Life,1917,Bad Boys for Life,1917,Bad Boys for Life
7ddcfcf7,Did Hurt Locker or Avatar have the smaller budget?,Hurt Locker,Hurt Locker,Avatar,Hurt Locker,Avatar,Hurt Locker
dd8d93c4,"Who is younger, Al Pacino or Robert De Niro?",Robert De Niro,Al Pacino,Robert De Niro,Cannot determine,Al Pacino and Robert De Niro are the same age,Other
306c2b74,"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?",Cate Blanchett,Helen Mirren,Cate Blanchett,Meryl Streep,Daniel Day-Lewis,Frances McDormand
b7a18689,"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",The Conjuring,The Conjuring (2013),The Happening (2008),The Conjuring 2 (2016),Annabelle (2014),Insidious (2010)
71faee3c,"Who earned their first movie credit as an actor the earliest, George Clooney or Matt Damon?",George Clooney,George Clooney,Matt Damon,George Clooney,Matt Damon,George Clooney
