id,question,answerText,top1
a9011ddf,What is the seventh tallest mountain in North America?,Mount Lucania,Mount Logan
2723bb1b,"Which actor was the star of Titanic and was born in Los Angeles, California?",Leonardo DiCaprio,Leonardo DiCaprio
88349c89,Which actor starred in Vanilla Sky and was married to Katie Holmes?,Tom Cruise,Tom Cruise
982450cf,Who is the youngest current US governor?,Ron DeSantis,Madison Cawthorn
fe541d01,Which US president has had the most votes?,Joe Biden,Joe Biden
f477742c,Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?,Henry Cavill,Henry Cavill
2e3cf745,Which river is longer than the Mississippi River?,The Nile,Amazon River
faa4e84c,What is the latest US state to be admitted to the union that is not Hawaii?,Alaska,Alaska
650e81a3,What is the longest lake in the world?,Lake Tanganyika,Lake Tanganyika
53fe42a8,Where was the singer of Genie in a Bottle born?,"Staten Island, New York City",Christina Aguilera
4694fd01,"Which series is older, Metroid or Super Mario Bros?",Super Mario Bros,Super Mario Bros
272d3f43,In which Super Mario Land game do you not play as Mario?,Wario Land: Super Mario Land 3,Princess Daisy
cf871296,Who was the president of Argentina from 1989 to 1999?,Carlos Menem,Carlos Menem
33ed28dd,"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?",Michael Phelps,Michael Phelps
2e4cde5f,What governors of Ohio since 2000 have not been Republican?,Ted Strickland,Ted Strickland
3e7b64af,Which player has won the most World Series rings?,Yogi Berra,Yogi Berra
80137241,"Who has been in more movies, Kevin Hart or Dwayne Johnson?",Dwayne Johnson,Dwayne Johnson
2182d4d7,"Which movie made more money, Joker or Suicide Squad (2016)?",Joker,Joker
21f3dbb1,"Which movie was released first, Avengers: Endgame or Joker?",Avengers Endgame,Avengers: Endgame
0804508e,"Who is older, Drew Barrymore or Neve Campbell?",Neve Campbell,Drew Barrymore
754ebe9d,"Who is older, Jodie Foster or Julia Roberts?",Jodie Foster,Jodie Foster
6323ffe8,"Who is taller, Angelina Jolie or Brad Pitt?",Brad Pitt,Brad Pitt
28cf6720,"Which movie had a higher lifetime gross, Titanic or Avatar?",Avatar,Avatar
47feccd4,"Which movie had a higher lifetime gross, Jurassic World or The Lion King?",Jurassic World,Jurassic World
3d823e8a,"Which Netflix series has been watched more, Tiger King or The Queen's Gambit?",Tiger King,Tiger King
932c66a8,"Which Netflix series has been watched more, Bridgerton or Tiger King?",Bridgerton,Bridgerton
4ecf1250,"Which is the higher-grossing 2020 movie, 1917 or Bad Boys for Life?",Bad Boys for Life,Bad Boys for Life
7ddcfcf7,Did Hurt Locker or Avatar have the smaller budget?,Hurt Locker,Hurt Locker
dd8d93c4,"Who is younger, Al Pacino or Robert De Niro?",Robert De Niro,Al Pacino
306c2b74,"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?",Cate Blanchett,Cate Blanchett
b7a18689,"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",The Conjuring,The Conjuring (2013)
71faee3c,"Who earned their first movie credit as an actor the earliest, George Clooney or Matt Damon?",George Clooney,George Clooney
65fb42d2,"Which actor is taller, The Rock or Terry Crews?",The Rock,The Rock
0b9c0743,Did Tom Hanks get his first Academy Award nomination for Big or Sleepless in Seattle?,Big,Big
5f3de4a8,"Who is older, Anna Faris or Jennifer Aniston?",Jennifer Aniston,Jennifer Aniston
8fbd1b49,"Who started acting earlier, Kevin Spacey or Kiefer Sutherland?",Kevin Spacey,Kevin Spacey
0554476e,"Which movie made more money, Avatar or Spectre?",Avatar,Avatar
4c5901ae,"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?",Gone With The Wind,Gone With The Wind
c64be55a,Who is taller when comparing Emma Stone to Winona Ryder?,Emma stone,Emma Stone
d9368ed1,Were the box office earnings for The Wolf of Wall Street or Inception higher?,Inception,The Wolf of Wall Street
3263c8a7,Did Avengers or The Lion King have the highest budget in 2019?,Avengers: Endgame,Avengers
8af3981e,Did Avengers: Age of Ultron or Avengers: Endgame make more worldwide gross?,Avengers: Endgame,Avengers: Endgame
713f2368,"Which movie won more Academy Awards, Titanic or Slumdog Millionaire?",Titanic,Titanic
c1a636cf,"Who is older, Billy Crystal or Adam Sandler?",Billy Crystal,Billy Crystal
c5a58056,"Which movie had higher grossing sales, Toy Story or Men In Black?",Men In Black,Toy Story
cf2abc7b,"Which movie had higher grossing sales, Toy Story 4 or Transformers?",Toy Story 4,Toy Story 4
8beb3b86,Which movie had a bigger budget: Titanic or Roma?,Titanic,Titanic
7175a825,"Between The Notebook and Dear John, which movie was more profitable worldwide?",The Notebook,The Notebook
63df6eb1,"Who is older, Leonardo DiCaprio or Tom Hanks?",Tom Hanks,Tom Hanks
00cc2a94,"Which movie had a bigger budget, Doctor Sleep or Ad Astra?",Ad Astra,Ad Astra
b508def9,"Who is older, Jessica Chastain or Bryce Dallas Howard?",Jessica Chastain,Jessica Chastain
5d4d2fa7,"Who is older, Rupert Grint or Daniel Radcliffe?",Rupert Grint,Rupert Grint
55a787bb,"Who is older, Emma Watson or Tom Felton?",Tom Felton,Tom Felton
7f6255c1,"Who is older, Amy Adams or Isla Fisher?",Amy Adams,Amy Adams
c2a4cf3f,"Who is older, Ryan Gosling or Ryan Reynolds?",Ryan Reynolds,Ryan Reynolds
5a7d2f2f,"Who is older, Sandra Bullock or Eva Mendes?",Sandra Bullock,Sandra Bullock
e66dd2fd,"Who is older, Jennifer Lawrence or Alison Brie?",Alison Brie,Jennifer Lawrence
f87b3c07,"Who made more movies for Studio Ghibli, Hayao Miyazaki or Isao Takahata?",Hayao Miyazaki,Hayao Miyazaki
03aa5c94,"Which movie studio grosses more money, DC or Marvel?",Marvel,Marvel
dc64bf24,"Who is older, Tom Hanks or Tom Cruise?",Tom Hanks,Tom Hanks
d5125264,"Who is taller, Tom Cruise or Dustin Hoffman?",Tom Cruise,Dustin Hoffman
c938aa92,"Who is older, Meryl Streep or Cher?",Cher,Cher
30f68ac6,"Which movie had a bigger budget, Pirates of the Caribbean: At World's End or Avengers: Endgame?",Avenger: Endgame,Avengers: Endgame
5528eadd,"Which movie had a smaller budget, Men in Black 3 or Titanic?",Titanic,Men in Black 3
61fd009c,"Which actor has been in more movies, Jerry Stiller or Ben Stiller?",Ben Stiller,Ben Stiller
6aa89fe3,"Which movie grossed more money on release, Avatar or The Avengers?",Avatar,Avatar
45a87547,"Who is older, Cate Blanchett or Tilda Swinton?",Tilda Swinton,Cate Blanchett
25cac1a3,"Which actress is shorter, Renée Zellweger or Anna Kendrick?",Anna Kendrick,Anna Kendrick
d281467a,"Which movie had a bigger budget, Transformers: The Last Knight or The Green Knight?",The Transformers: Last Knight,Transformers: The Last Knight
7a8cc990,"Which movie had a bigger budget, Transformers: Last Knight or Daredevil?",The Transformers: Last Knight,Transformers: Last Knight
15ad15e5,"Who is older, Clint Eastwood or Cuba Gooding Jr.?",Clint Eastwood,Clint Eastwood
1a3f9385,Which 2005 Christopher Nolan movie does not star Hugh Jackman?,Batman Begins,Batman Begins
1a8c5701,Which 2008 Christopher Nolan movie does not star Keanu Reeves?,The Dark Knight,The Dark Knight
37c24341,Which 2010 Christopher Nolan movie does not star Matthew McConaughey?,Inception,Inception
6d3e3c24,Which 1993 movie about Wyatt Earp did Kevin Costner not star in?,Tombstone,Tombstone
5bf0ec18,Which 1940 Disney movie did not feature the Little Mermaid as a character?,Fantasia,Pinocchio
161a6504,Which Academy Award nominated movie directed by Raoul Walsh and Irving Cummings did not win Best Picture in 1928/29?,In Old Arizona,"""In Old Arizona"""
3d86c35c,"At the 1994 Oscars, which movie didn't win anything, despite receiving seven nominations?",Shawshank Redemption,The Color Purple
5a7a384e,Which 1952 Gene Kelly movie failed to earn a Best Picture nod at the Oscars that year?,Singin' in the Rain,Singin' in the Rain
fa7a8d6c,Which Harry Potter movie is the only one so far that does not depict either the Warner Bros. Pictures or Harry Potter logo against a sea of clouds?,Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
